"date","price"
31-Jan-22,75.25
1-Feb-22,76.25
2-Feb-22,76.25
3-Feb-22,76.75
4-Feb-22,77.00
8-Feb-22,77.25
9-Feb-22,78.30
10-Feb-22,81.00
11-Feb-22,81.50
14-Feb-22,83.50
15-Feb-22,84.50
16-Feb-22,86.25
17-Feb-22,85.50
18-Feb-22,85.00
21-Feb-22,84.00
22-Feb-22,82.50
23-Feb-22,80.75
24-Feb-22,80.75
25-Feb-22,80.00
28-Feb-22,80.75
1-Mar-22,80.50
2-Mar-22,80.50
3-Mar-22,80.50
4-Mar-22,79.00
7-Mar-22,78.50
8-Mar-22,76.50
9-Mar-22,74.75
10-Mar-22,70.25
11-Mar-22,72.00
14-Mar-22,72.50
15-Mar-22,72.00
16-Mar-22,71.75
17-Mar-22,73.50
18-Mar-22,73.62
21-Mar-22,73.62
22-Mar-22,73.45
23-Mar-22,72.90
24-Mar-22,73.10
25-Mar-22,74.00
28-Mar-22,75.25
29-Mar-22,76.00
30-Mar-22,76.05
31-Mar-22,76.00
1-Apr-22,75.90
4-Apr-22,76.00
5-Apr-22,76.00
6-Apr-22,76.00
7-Apr-22,76.00
8-Apr-22,75.95
11-Apr-22,75.90
12-Apr-22,75.50
13-Apr-22,76.25
14-Apr-22,76.50
19-Apr-22,77.00
20-Apr-22,76.85
21-Apr-22,76.85
22-Apr-22,76.25
26-Apr-22,76.20
27-Apr-22,75.90
28-Apr-22,75.75
29-Apr-22,75.90
2-May-22,75.90
3-May-22,75.90
4-May-22,75.87
5-May-22,76.20
9-May-22,76.50
10-May-22,76.47
11-May-22,76.45
12-May-22,76.45
13-May-22,76.40
16-May-22,76.50
17-May-22,76.60
18-May-22,76.60
19-May-22,76.42
20-May-22,76.47
23-May-22,76.90
24-May-22,77.05
25-May-22,77.10
26-May-22,77.00
27-May-22,77.00
30-May-22,77.20
31-May-22,77.00
1-Jun-22,76.87
2-Jun-22,76.85
3-Jun-22,77.10
7-Jun-22,77.07
8-Jun-22,76.90
9-Jun-22,76.80
13-Jun-22,76.60
14-Jun-22,76.40
15-Jun-22,75.70
16-Jun-22,77.00
17-Jun-22,76.85
20-Jun-22,76.60
21-Jun-22,76.50
22-Jun-22,76.50
27-Jun-22,75.95
28-Jun-22,76.20
29-Jun-22,76.10
30-Jun-22,76.00
1-Jul-22,76.00
4-Jul-22,75.40
5-Jul-22,75.37
6-Jul-22,75.00
7-Jul-22,74.75
11-Jul-22,73.00
12-Jul-22,73.00
13-Jul-22,72.87
14-Jul-22,73.15
15-Jul-22,72.80
18-Jul-22,72.90
19-Jul-22,72.95
20-Jul-22,72.87
21-Jul-22,73.15
22-Jul-22,73.00
25-Jul-22,72.80
26-Jul-22,72.55
27-Jul-22,72.60
28-Jul-22,80.75
29-Jul-22,80.25
1-Aug-22,80.30
2-Aug-22,80.30
3-Aug-22,80.25
4-Aug-22,80.00
5-Aug-22,80.00
8-Aug-22,79.80
10-Aug-22,79.90
11-Aug-22,80.00
12-Aug-22,80.25
16-Aug-22,80.75
17-Aug-22,83.50
18-Aug-22,83.45
19-Aug-22,85.40
22-Aug-22,85.50
23-Aug-22,86.00
24-Aug-22,86.05
25-Aug-22,85.60
26-Aug-22,85.70
29-Aug-22,86.50
30-Aug-22,86.65
31-Aug-22,86.70
1-Sep-22,86.80
2-Sep-22,87.10
5-Sep-22,87.05
6-Sep-22,87.15
7-Sep-22,87.30
8-Sep-22,85.50
9-Sep-22,85.70
12-Sep-22,85.50
13-Sep-22,85.00
14-Sep-22,84.00
15-Sep-22,84.00
16-Sep-22,83.00
19-Sep-22,83.20
20-Sep-22,83.10
21-Sep-22,82.75
22-Sep-22,82.75
23-Sep-22,81.75
27-Sep-22,81.85
28-Sep-22,81.00
29-Sep-22,80.00
30-Sep-22,79.00
03-Oct-22,78.00
04-Oct-22,78.00
05-Oct-22,78.05
06-Oct-22,78.20
07-Oct-22,82.50
10-Oct-22,82.90
11-Oct-22,82.22
12-Oct-22,80.75
